,Edition,Athlete,NOC,Medal
2244,1912,"DE WOLF, Nicolaas",NED,Bronze
2245,1912,"FEITH, Constant Willem",NED,Bronze
2246,1912,"GÖBEL, Marius Just",NED,Bronze
2247,1912,"LOTSY, Dirk Nicolaas",NED,Bronze
2248,1912,"TEN CATE, Caesar Herman",NED,Bronze
2249,1912,"VAN BREDA KOLFF, Jan Gualtherus",NED,Bronze
2250,1912,"VOS, Jan",NED,Bronze
2251,1912,"WIJNVELDT, David",NED,Bronze
2252,1912,"BERRY, Arthur",GBR,Gold
2253,1912,"BREBNER, Ronald Gilchrist",GBR,Gold
2254,1912,"BURN, Thomas Christopher",GBR,Gold
2255,1912,"DINES, James",GBR,Gold
2256,1912,"HANNEY, Edward T.",GBR,Gold
2257,1912,"HOARE, Gordon Rahere",GBR,Gold
2258,1912,"KNIGHT, Arthur Egerton",GBR,Gold
2259,1912,"LITTLEWORT, Henry Charles",GBR,Gold
2260,1912,"SHARPE, Ivor Gordon",GBR,Gold
2261,1912,"WALDEN, Harold Adrian",GBR,Gold
2262,1912,"WOODWARD, Vivian John",GBR,Gold
2263,1912,"BERTH, Paul Ludvig Laurits",DEN,Silver
2264,1912,"BUCHWALD, Charles",DEN,Silver
2265,1912,"CHRISTOFFERSEN, Hjalmar Johan",DEN,Silver
2266,1912,"HANSEN, Harald",DEN,Silver
2267,1912,"HANSEN, Sophus",DEN,Silver
2268,1912,"MIDDELBOE, Niels",DEN,Silver
2269,1912,"NIELSEN, Sofus Erhard",DEN,Silver
2270,1912,"OLSEN, Anton",DEN,Silver
2271,1912,"PETERSEN, Axel Karl",DEN,Silver
2272,1912,"SEIDELIN-NIELSEN, Ivar Likke",DEN,Silver
2273,1912,"WOLFHAGEN, Vilhelm",DEN,Silver
2274,1912,"TUNESI, Adolfo",ITA,Bronze
2275,1912,"BRAGLIA, G. Alberto",ITA,Gold
2276,1912,"SEGURA, B. Louis",FRA,Silver
2277,1912,"BETTS, Albert Edward",GBR,Bronze
2278,1912,"COWHIG, William",GBR,Bronze
2279,1912,"CROSS, Sidney",GBR,Bronze
2280,1912,"DICKASON, Harry",GBR,Bronze
2281,1912,"DRURY, Herbert James",GBR,Bronze
2282,1912,"FRANKLIN, Bernard Wallis",GBR,Bronze
2283,1912,"HANSON, Leonard",GBR,Bronze
2284,1912,"HODGETTS, Samuel",GBR,Bronze
2285,1912,"LUCK, Charles James",GBR,Bronze
2286,1912,"MAC KUNE, William",GBR,Bronze
2287,1912,"MCLEAN, Ronald Gordon",GBR,Bronze
2288,1912,"MESSENGER, Alfred William",GBR,Bronze
2289,1912,"OBERHOLZER, Henry Arthur",GBR,Bronze
2290,1912,"PEPPER, Edward Ernest",GBR,Bronze
2291,1912,"POTTS, Edward William",GBR,Bronze
2292,1912,"POTTS, Reginald Hubert",GBR,Bronze
2293,1912,"ROSS, George James",GBR,Bronze
2294,1912,"SIMMONS, Charles",GBR,Bronze
2295,1912,"SOUTHERN, Arthur George Heron",GBR,Bronze
2296,1912,"TITT, William",GBR,Bronze
2297,1912,"VIGURS, Charles Alfred",GBR,Bronze
2298,1912,"WALKER, Samuel John",GBR,Bronze
2299,1912,"WEST, Charles Joseph",GBR,Bronze
2300,1912,"WHITAKER, John T.",GBR,Bronze
2301,1912,"BIANCHI, Pietro",ITA,Gold
2302,1912,"BONI, Guido",ITA,Gold
2303,1912,"BRAGLIA, G. Alberto",ITA,Gold
2304,1912,"DOMENICHELLI, Guiseppe",ITA,Gold
2305,1912,"FREGOSI, Carlo",ITA,Gold
2306,1912,"GOLLINI, Alfredo",ITA,Gold
2307,1912,"LOI, Francesco",ITA,Gold
2308,1912,"MANGIANTE, Giovanni",ITA,Gold
2309,1912,"MANGIANTE, Lorenzo",ITA,Gold
2310,1912,"MAZZAROCHI, Serafino",ITA,Gold
2311,1912,"ROMANO, Guido",ITA,Gold
2312,1912,"SALVI, Paolo",ITA,Gold
2313,1912,"SAVORINI, Luciano",ITA,Gold
2314,1912,"TUNESI, Adolfo",ITA,Gold
2315,1912,"ZAMPORI, Giorgio",ITA,Gold
2316,1912,"ZORZI, Angelo",ITA,Gold
2317,1912,"ARADI, Lajos",HUN,Silver
2318,1912,"BERKES, Jozsef",HUN,Silver
2319,1912,"ERDÖDY, Imre",HUN,Silver
2320,1912,"FOTI, Samu",HUN,Silver
2321,1912,"GELLERT, Imre",HUN,Silver
2322,1912,"HALMOS, Gyözö",HUN,Silver
2323,1912,"HELLMICH, Otto",HUN,Silver
2324,1912,"HERCZEG, Istvan",HUN,Silver
2325,1912,"KERESZTESSY, Jozsef",HUN,Silver
2326,1912,"KORPONAI, Janos",HUN,Silver
2327,1912,"PASZTY, Elemer",HUN,Silver
2328,1912,"PEDERY, Arpad",HUN,Silver
2329,1912,"RETI, Jenö",HUN,Silver
